DATE, EX_NUM, m, n, t, ERROR_UX, ERROR_VX, ERROR_DX, MEAN_METHOD, BOOL_ALPHA_THETA, EMIN, EMAX, LOW_RANK_APPROX_METHOD,LOW_RANK_ITE, APF_METHOD, APF_ITE,BOOL_LOG,SYLVESTER_BUILD_METHOD,GCD_METHOD, RANK_REVEALING_METRIC
25-Sep-2017 12:35:47,9,35,31,23,23,1.6585e-07,8.9602e-10,3.2763e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-08,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 12:35:51,9,35,31,23,23,9.7664e-07,5.7694e-10,3.7074e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-08,Standard STLN,200,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 12:35:56,9,35,31,23,23,0.00011147,5.2597e-07,2.385e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-08,Standard SNTLN,200,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:07:32,2,19,16,5,5,9.5832e-07,1.5652e-07,1.7673e-06,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-08,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:07:35,2,19,16,5,5,7.8488e-08,1.1367e-08,1.3126e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-08,Standard STLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:07:38,2,19,16,5,5,7.3961e-08,1.0763e-08,1.236e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-08,Standard SNTLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:10:13,2,19,16,5,6,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:10:16,2,19,16,5,6,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-06,Standard STLN,19,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:10:19,2,19,16,5,6,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-06,Standard SNTLN,21,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:11:32,2,19,16,5,5,1.2324e-05,1.9487e-06,2.2328e-05,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:11:37,2,19,16,5,5,5.7342e-07,8.652e-08,9.7139e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:11:41,2,19,16,5,5,5.3988e-07,8.2075e-08,9.1507e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:20:07,2,19,16,5,2,1000,1000,1000,None,0,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:20:10,2,19,16,5,5,1.2324e-05,1.9487e-06,2.2328e-05,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:20:13,2,19,16,5,5,5.7342e-07,8.652e-08,9.7139e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:20:16,2,19,16,5,5,5.3988e-07,8.2075e-08,9.1507e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:21:30,3,21,20,12,14,1000,1000,1000,None,0,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:21:33,3,21,20,12,12,7.9193e-08,1.0909e-09,2.8472e-08,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:21:36,3,21,20,12,12,4.4383e-07,4.7749e-09,3.2042e-08,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:21:39,3,21,20,12,12,2.8761e-06,2.511e-07,4.6447e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
25-Sep-2017 13:23:05,3,21,20,12,8,1000,1000,1000,None,0,1.000000e-08,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
