DATE, EX_NUM, MEAN_METHOD, BOOL_ALPHA_THETA, EMIN, EMAX, LOW_RANK_APPROX_METHOD, LOW_RANK_ITE, APF_METHOD, APF_ITE, BOOL_LOG, SYLVESTER_BUILD_METHOD, GCD_METHODM, METHOD_NAME, DECONVOLUTION_METHOD HX, DECONVOLUTION_METHOD WX, DECONVOLUTION_PREPROC, FORWARD_ERROR, BACKWARD_ERROR, ERROR_FX, ERROR_HX, ERROR_WX 
05-Oct-2017 17:11:17,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,9.979714e-08,4.232665e-07,1.732202e-07,5.470552e-07,8.898797e-08
05-Oct-2017 17:11:24,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard STLN,8,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,1.270225e-07,2.271847e-07,7.117226e-08,2.547785e-07,5.169007e-08
05-Oct-2017 17:11:32,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard SNTLN,4,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,2.490198e-07,1.211342e-06,7.146701e-07,3.959908e-06,3.399466e-07
05-Oct-2017 17:11:39,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,4.031597e-08,2.928568e-07,1.732202e-07,2.279578e-07,5.866198e-08
05-Oct-2017 17:11:46,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard STLN,8,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,1.389457e-07,2.486127e-07,7.117226e-08,1.650791e-07,5.721649e-08
05-Oct-2017 17:11:55,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard SNTLN,4,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,3.557080e-07,1.410450e-06,7.146701e-07,4.581964e-06,3.769831e-07
05-Oct-2017 17:12:01,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,None,0,None,0,0,DTQ,ux and vx,My Method,Batch With STLN,Batch,1,3.545536e-08,2.753485e-07,1.732202e-07,2.456172e-07,5.522877e-08
05-Oct-2017 17:12:08,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard STLN,8,None,0,0,DTQ,ux and vx,My Method,Batch With STLN,Batch,1,1.409120e-07,2.509528e-07,7.117226e-08,1.712547e-07,5.802187e-08
05-Oct-2017 17:12:17,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard SNTLN,4,None,0,0,DTQ,ux and vx,My Method,Batch With STLN,Batch,1,3.988723e-07,1.474683e-06,7.146701e-07,5.060443e-06,3.982475e-07
05-Oct-2017 17:12:24,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,7.415204e-08,3.571431e-07,1.732202e-07,2.666355e-07,7.548794e-08
05-Oct-2017 17:12:31,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard STLN,8,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,6.227328e-08,2.193876e-07,7.117226e-08,1.422140e-07,4.881663e-08
05-Oct-2017 17:12:40,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard SNTLN,4,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,1.057698e-06,1.859044e-06,7.146701e-07,4.718799e-06,4.299474e-07
05-Oct-2017 17:12:46,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained With STLN,Batch,1,4.677534e-08,3.628816e-07,1.732202e-07,2.424056e-07,7.351862e-08
05-Oct-2017 17:12:53,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard STLN,8,None,0,0,DTQ,ux and vx,My Method,Batch Constrained With STLN,Batch,1,5.476533e-08,2.480758e-07,7.117226e-08,1.479398e-07,5.434547e-08
05-Oct-2017 17:13:02,9,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard SNTLN,4,None,0,0,DTQ,ux and vx,My Method,Batch Constrained With STLN,Batch,1,7.712418e-07,1.779045e-06,7.146701e-07,6.523288e-06,6.895311e-07
15-Oct-2017 22:11:50,1,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,1.415229e-07,1.066387e-07,7.648726e-09,1.030905e-08,6.816541e-09
15-Oct-2017 22:11:54,1,Geometric Mean Matlab Method,1,1.000000e-10,1.000000e-08,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,1.039945e-07,8.613960e-08,8.518160e-09,2.472890e-08,5.067504e-09
